ps 1; rodz 1,1-2,3
ps 2; rodz 2,4-4,26
ps 3; rodz 5,1-6,8
ps 4; rodz 6,9-9,29
ps 5; rodz 10,1-11,9
ps 6; rodz 11,10-11,26
ps 7; rodz 11,27-12,20
ps 8; rodz 13-14
ps 9; rodz 15-16
ps 10; rodz 17
ps 11; rodz 18,1-18,15
ps 12; rodz 18,16-19,38
ps 13; rodz 20-21
ps 14; rodz 22-23
ps 15; rodz 24-25,11
ps 16; rodz 25,12-25,18
ps 17; rodz 25,19-26,35
ps 18; rodz 27-28
ps 19; rodz 29-31
ps 20; rodz 32-33
ps 21; rodz 34-35
ps 22; rodz 36,1-37,1
ps 23; rodz 37,2-38,30
ps 24; rodz 39-40
ps 25; rodz 41-42
ps 26; rodz 43-44
ps 27; rodz 45-46
ps 28; rodz 47-48
ps 29; rodz 49-50
ps 30;
ps 31;
ps 32; wy 1-2
ps 33; wy 3-4
ps 34; wy 5,1-6,27
ps 35; wy 6,28-9,35
ps 36; wy 10-11
ps 37; wy 12,1-30
ps 38; wy 12,31-14,31
ps 39; wy 15,1-21
ps 40; wy 15,22-17,7
ps 41; wy 17,8-18,27
ps 42; wy 19-20
ps 43; wy 21-23
ps 44; wy 24,1-11
ps 45; wy 24,12-25,40
ps 46; wy 26-27
ps 47; wy 28-29
ps 48; wy 30-31
ps 49; wy 32-33
ps 50; wy 34
ps 51; wy 35-36
ps 52; wy 37-38
ps 53; wy 39
ps 54; wy 40
ps 55;
ps 56;
ps 57; kapl 1-2
ps 58; kapl 3
ps 59; kapl 4,1-5,13
ps 60; kapl 5,14-6,7
ps 61; kapl 6,8-7,38
ps 62; kapl 8-9
ps 63; kapl 10
ps 64; kapl 11-12
ps 65; kapl 13-14
ps 66; kapl 15-16
ps 67; kapl 17-18
ps 68; kapl 19-20
ps 69; kapl 21-22
ps 70; kapl 23,1-24,9
ps 71; kapl 24,10-25,55
ps 72; kapl 26
ps 73; kapl 27
ps 74;
ps 75;
ps 76; li 1-2
ps 77; li 3-4
ps 78; li 5-6
ps 79; li 7
ps 80; li 8,1-9,14
ps 81; li 9,15-10,36
ps 82; li 11-12
ps 83; li 13-14
ps 84; li 15
ps 85; li 16-17
ps 86; li 18-19
ps 87; li 20-21
ps 88; li 22-24
ps 89; li 25
ps 90; li 26-27
ps 91; li 28-29
ps 92; li 30-31
ps 93; li 32-33
ps 94; li 34-35
ps 95; li 36
ps 96;
ps 97;
ps 98; powt 1
ps 99; powt 2-3
ps 100; powt 4,1-43
ps 101; powt 4,44-5,33
ps 102; powt 6-7
ps 103; powt 8-9
ps 104; powt 10-11
ps 105; powt 12,1-14,2
ps 106; powt 14,3-16,17
ps 107; powt 16,18-18,22
ps 108; powt 19-20
ps 109; powt 21-22
ps 110; powt 23
ps 111; powt 24-25
ps 112; powt 26
ps 113; powt 27-28
ps 114; powt 29-30
ps 115; powt 31,1-29
ps 116; powt 31,30-33,29
ps 117; powt 34
ps 118;
ps 119;
ps 120; joz 1
ps 121; joz 2
ps 122; joz 3-5,12
ps 123; joz 5,13-7
ps 124; joz 8
ps 125; joz 9-10
ps 126; joz 11-12
ps 127; joz 13
ps 128; joz 14-15
ps 129; joz 16-17
ps 130; joz 18-19
ps 131; joz 20-21
ps 132; joz 22-23
ps 133; joz 24
ps 134;
ps 135;
ps 136; sedz 1-2,5
ps 137; sedz 2,6-3,6
ps 138; sedz 3,7-5,31
ps 139; sedz 6-7
ps 140; sedz 8
ps 141; sedz 9,1-10,5
ps 142; sedz 10,6-12,15
ps 143; sedz 13-14
ps 144; sedz 15-16
ps 145; sedz 17-18
ps 146; sedz 19
ps 147; sedz 20-21
ps 148;
ps 149;
ps 150; rut 1
przy 1,1-7; rut 2
przy 1,8-33; rut 3
przy 2; rut 4
przy 3;
przy 4;
przy 5-6,19; 1sam 1-2,11
przy 6,20-35; 1sam 2,12-4,1
przy 7; 1sam 4,1-5,12
przy 8; 1sam 6-7
przy 9; 1sam 8-9
przy 10; 1sam 10-12
przy 11; 1sam 13,1-14,48
przy 12; 1sam 14,49-15,35
przy 13; 1sam 16-17
przy 14; 1sam 18-19
przy 15,1-29; 1sam 20-21
przy 15,30-33; 1sam 22-23
przy 16; 1sam 24-25
przy 17; 1sam 26-27
przy 18; 1sam 28-29
przy 19; 1sam 30-31
przy 20;
przy 21;
przy 22,1-16; 2sam 1-2
przy 22,17-29; 2sam 3-4
przy 23; 2sam 5-7
przy 24,1-22; 2sam 8-9
przy 24,23-34; 2sam 10-11
przy 25; 2sam 12
przy 26; 2sam 13-14
przy 27; 2sam 15-16
przy 28; 2sam 17 - 18
przy 29; 2sam 19-20
przy 30; 2sam 21
przy 31,1-9; 2sam 22-23,7
przy 31,10-31; 2sam 23,8-23,39
ps 1; 2sam 24
ps 2;
ps 3;
ps 4; 1k 1-2
ps 5; 1k 3-4
ps 6; 1k 5-6
ps 7; 1k 7
ps 8; 1k 8-9
ps 9; 1k 10-11
ps 10; 1k 12-13
ps 11; 1k 14
ps 12; 1k 15,1-16,20
ps 13; 1k 16,21-17,24
ps 14; 1k 18-19
ps 15; 1k 20-21
